canvas	source	text
01 Tasarim Sistemi.dc.html	template	TAKİP
01 Tasarim Sistemi.dc.html	template	TOPLANTI
01 Tasarim Sistemi.dc.html	template	KİŞİSEL
01 Tasarim Sistemi.dc.html	template	TAKVİM
01 Tasarim Sistemi.dc.html	template	ONAYLANDI
01 Tasarim Sistemi.dc.html	template	BEKLİYOR
01 Tasarim Sistemi.dc.html	template	PRO
01 Tasarim Sistemi.dc.html	template	Rozet: 11/700, +0.05em, pill, 3×8 dolgu. Filtre çipi: 34 yüksek, seçili = ink zemin. Meta çipi: 30 yüksek, ikon 15.
01 Tasarim Sistemi.dc.html	template	SEGMENTLİ KONTROL · ANAHTAR · ONAY
01 Tasarim Sistemi.dc.html	template	Gün
01 Tasarim Sistemi.dc.html	template	Hafta
01 Tasarim Sistemi.dc.html	template	açık
01 Tasarim Sistemi.dc.html	template	kapalı
01 Tasarim Sistemi.dc.html	template	seçim · boş · tamamlandı
01 Tasarim Sistemi.dc.html	template	KARTLAR · 6 KALIP
01 Tasarim Sistemi.dc.html	template	card/priority
01 Tasarim Sistemi.dc.html	template	Ahmet senden bugün 17:00'ye kadar revize teklif bekliyor.
01 Tasarim Sistemi.dc.html	template	Gmail · Ahmet Yılmaz · 08:42
01 Tasarim Sistemi.dc.html	template	Hatırlat
01 Tasarim Sistemi.dc.html	template	card/mail
01 Tasarim Sistemi.dc.html	template	SK
01 Tasarim Sistemi.dc.html	template	Selin Kaya
01 Tasarim Sistemi.dc.html	template	Dün 15:40
01 Tasarim Sistemi.dc.html	template	Sözleşme taslağının 4. maddesi için yorumunu bekliyor; yarın öğlen hukuka gidecek.
01 Tasarim Sistemi.dc.html	template	Yanıt Hazırla
01 Tasarim Sistemi.dc.html	template	card/calendar
01 Tasarim Sistemi.dc.html	template	Mehmet ile müşteri toplantısı
01 Tasarim Sistemi.dc.html	template	60 dk · Ofis · Son görüşme 4 gün önce
01 Tasarim Sistemi.dc.html	template	Hazırlan
01 Tasarim Sistemi.dc.html	template	card/ai-insight
01 Tasarim Sistemi.dc.html	template	TAKVİM ZEKÂSI
01 Tasarim Sistemi.dc.html	template	Yarın 14:00–16:30 arasında 2,5 saat boşluğun var.
01 Tasarim Sistemi.dc.html	template	Teklif hazırlama görevini buraya yerleştirebilirim.
01 Tasarim Sistemi.dc.html	template	Planla
01 Tasarim Sistemi.dc.html	template	Başka zaman
01 Tasarim Sistemi.dc.html	template	card/life
01 Tasarim Sistemi.dc.html	template	UÇUŞ
01 Tasarim Sistemi.dc.html	template	Yarın
01 Tasarim Sistemi.dc.html	template	TK2412 · İstanbul → Antalya
01 Tasarim Sistemi.dc.html	template	Yarın 09:15 · Check-in açık
01 Tasarim Sistemi.dc.html	template	Check-in
01 Tasarim Sistemi.dc.html	template	Cüzdana Ekle
01 Tasarim Sistemi.dc.html	template	card/person
01 Tasarim Sistemi.dc.html	template	MY
01 Tasarim Sistemi.dc.html	template	Mehmet Yılmaz
01 Tasarim Sistemi.dc.html	template	3 gün
01 Tasarim Sistemi.dc.html	template	Teklif v2 · PDF
01 Tasarim Sistemi.dc.html	template	Henüz yanıt gelmedi.
01 Tasarim Sistemi.dc.html	template	3 gündür bekliyor
01 Tasarim Sistemi.dc.html	template	Takip Et
01 Tasarim Sistemi.dc.html	template	state/pressed
01 Tasarim Sistemi.dc.html	template	Kart basılı · scale .98, 120 ms
01 Tasarim Sistemi.dc.html	template	state/loading
01 Tasarim Sistemi.dc.html	template	state/error
01 Tasarim Sistemi.dc.html	template	Bu kart yüklenemedi.
01 Tasarim Sistemi.dc.html	template	Tekrar dene
01 Tasarim Sistemi.dc.html	template	state/selected
01 Tasarim Sistemi.dc.html	template	Seçili kart
01 Tasarim Sistemi.dc.html	template	state/suggested
01 Tasarim Sistemi.dc.html	template	Önerilen · henüz gerçek değil
01 Tasarim Sistemi.dc.html	template	state/done
01 Tasarim Sistemi.dc.html	template	Tamamlandı
01 Tasarim Sistemi.dc.html	template	GİRİŞLER · ARAMA · SOHBET
01 Tasarim Sistemi.dc.html	template	E-posta adresi
01 Tasarim Sistemi.dc.html	template	yunus@
01 Tasarim Sistemi.dc.html	template	yunus@gmail
01 Tasarim Sistemi.dc.html	template	Geçerli bir e-posta adresi gir.
01 Tasarim Sistemi.dc.html	template	Devre dışı
01 Tasarim Sistemi.dc.html	template	Hafızada ara…
01 Tasarim Sistemi.dc.html	template	Dijital hayatına sor…
01 Tasarim Sistemi.dc.html	template	Mehmet ile en son ne
01 Tasarim Sistemi.dc.html	template	Odak: 2px indigo halka, gölge yok. Hata: coral halka + altta ikonlu mesaj. Sohbet girişi yazı başladığında mikrofon → gönder (ink) olur.
01 Tasarim Sistemi.dc.html	template	NAVİGASYON · BAŞLIK KALIPLARI
01 Tasarim Sistemi.dc.html	template	Bugün
01 Tasarim Sistemi.dc.html	template	Akış
01 Tasarim Sistemi.dc.html	template	Plan
01 Tasarim Sistemi.dc.html	template	Asistan
01 Tasarim Sistemi.dc.html	template	5 EYLÜL CUMARTESİ
01 Tasarim Sistemi.dc.html	template	Günaydın, Yunus
01 Tasarim Sistemi.dc.html	template	2 onay
01 Tasarim Sistemi.dc.html	template	ALT SAYFA BAŞLIĞI
01 Tasarim Sistemi.dc.html	template	18 dk
01 Tasarim Sistemi.dc.html	template	Sekme: aktif = dolu ikon + indigo, pasif = çizgi ikon + tertiary. Kök ekranlar büyük başlık (28) + tarih kicker; alt sayfalar geri dairesi + ortalanmış kicker + sağda bağlam çipi.
01 Tasarim Sistemi.dc.html	template	TOAST · SES · İSKELET
01 Tasarim Sistemi.dc.html	template	Hatırlatıcı kuruldu · Yarın 09:10
01 Tasarim Sistemi.dc.html	template	Öğrendim · Ahmet Yılmaz artık VIP.
01 Tasarim Sistemi.dc.html	template	Geri al
01 Tasarim Sistemi.dc.html	template	Çevrimdışı · Son analiz 09:40
01 Tasarim Sistemi.dc.html	template	Sabah Brifingi · Öncelikler
01 Tasarim Sistemi.dc.html	template	Toast: ink pill, alttan 16px kayar, 2,6 sn; ikonu anlam taşır (indigo nötr, coral hata). Mini oynatıcı sekme çubuğunun üstüne yapışır. İskelet: parıltı 1,6 sn, gerçek kart ölçülerinde.
01 Tasarim Sistemi.dc.html	template	ALT SAYFA · MODAL
01 Tasarim Sistemi.dc.html	template	Ne zaman hatırlatayım?
01 Tasarim Sistemi.dc.html	template	Seçenekler: 6 sabit
01 Tasarim Sistemi.dc.html	template	1 saat önce
01 Tasarim Sistemi.dc.html	template	Uygun zamanda
01 Tasarim Sistemi.dc.html	template	Gmail bağlantısı kaldırılsın mı?
01 Tasarim Sistemi.dc.html	template	Analizler durur; geçmiş özetler 30 gün saklanır.
01 Tasarim Sistemi.dc.html	template	Kaldır
01 Tasarim Sistemi.dc.html	template	Vazgeç
01 Tasarim Sistemi.dc.html	template	Alt sayfa: seçim listeleri, düzeltme menüsü, hatırlatıcı. Modal yalnızca geri alınamaz işlemler için (bağlantı kaldırma, silme). Arka plan %35 ink.
01 Tasarim Sistemi.dc.html	template	DARK MODE TOKENLARI
01 Tasarim Sistemi.dc.html	template	Dark yüzeyler sıcak siyah; gölge yerine %6 beyaz hairline. Indigo aydınlatılır (#8586F2), birincil buton üzerinde koyu metin. Coral/amber aydınlatılmış metin varyantlarıyla (#F08B78, #F0B85A).
01 Tasarim Sistemi.dc.html	data	Birincil buton, AI işareti, seçili sekme
01 Tasarim Sistemi.dc.html	data	Basılı durum
01 Tasarim Sistemi.dc.html	data	Tonal buton, AI kart parıltısı
01 Tasarim Sistemi.dc.html	data	Ghost buton, bağlantı
01 Tasarim Sistemi.dc.html	data	Koyu yüzeyde AI işareti
01 Tasarim Sistemi.dc.html	data	İkon, çakışma çizgisi
01 Tasarim Sistemi.dc.html	data	ACİL rozet zemini
01 Tasarim Sistemi.dc.html	data	Rozet metni, yıkıcı buton
01 Tasarim Sistemi.dc.html	data	İkon (yoğunluk, bekleme)
01 Tasarim Sistemi.dc.html	data	SON TARİH, BEKLİYOR
01 Tasarim Sistemi.dc.html	data	Rozet metni
01 Tasarim Sistemi.dc.html	data	Tamamlandı ikonu
01 Tasarim Sistemi.dc.html	data	ONAYLANDI, güvence kutusu
01 Tasarim Sistemi.dc.html	data	Ulaşım ikonu
01 Tasarim Sistemi.dc.html	data	TAKVİM rozeti
01 Tasarim Sistemi.dc.html	data	Uygulama zemini (sıcak)
01 Tasarim Sistemi.dc.html	data	İkon karosu, nötr rozet
01 Tasarim Sistemi.dc.html	data	Birincil metin, koyu kart
01 Tasarim Sistemi.dc.html	data	İkincil metin
01 Tasarim Sistemi.dc.html	data	Kicker, meta
01 Tasarim Sistemi.dc.html	data	Pasif ikon
01 Tasarim Sistemi.dc.html	data	Haftalık özet, okuma görünümü
01 Tasarim Sistemi.dc.html	data	Sabah brifingi, marka anı
01 Tasarim Sistemi.dc.html	data	Ses, sesli brifing, analiz
01 Tasarim Sistemi.dc.html	data	Akşam kapanışı
01 Tasarim Sistemi.dc.html	data	Bugün bilmen gereken 5 şey var.
01 Tasarim Sistemi.dc.html	data	Toplantıya Hazırlan
01 Tasarim Sistemi.dc.html	data	Ahmet senden revize teklif bekliyor.
01 Tasarim Sistemi.dc.html	data	Toplantı öncesinde dün gelen fiyat teklifine bakman faydalı olabilir.
01 Tasarim Sistemi.dc.html	data	Son görüşmeniz 4 gün önceydi.
01 Tasarim Sistemi.dc.html	data	caption / kicker
01 Tasarim Sistemi.dc.html	data	Öncelİklerİn · 5 Eylül
01 Tasarim Sistemi.dc.html	data	12 / 16 · 600 · +8% · caps
01 Tasarim Sistemi.dc.html	data	micro / badge
01 Tasarim Sistemi.dc.html	data	ACİL · 08:42
01 Tasarim Sistemi.dc.html	data	Öğlene kadar toplantın bulunmuyor.
01 Tasarim Sistemi.dc.html	data	Haftan nasıl geçti?
01 Tasarim Sistemi.dc.html	data	Lora, Georgia, serif
01 Tasarim Sistemi.dc.html	data	Lora 34–38 · haftalık özet
01 Tasarim Sistemi.dc.html	data	AI işareti
01 Tasarim Sistemi.dc.html	data	Son tarih
01 Tasarim Sistemi.dc.html	data	çip ikon karosu
01 Tasarim Sistemi.dc.html	data	satır içi buton
01 Tasarim Sistemi.dc.html	data	küçük kart
01 Tasarim Sistemi.dc.html	data	hero / sayfa
01 Tasarim Sistemi.dc.html	data	daspin .8s linear infinite
01 Tasarim Sistemi.dc.html	data	dashimmer 1.6s linear infinite
02 Onboarding.dc.html	template	← Prototip ve IA
02 Onboarding.dc.html	template	01 Sistem
02 Onboarding.dc.html	template	02 Onboarding
02 Onboarding.dc.html	template	03 Bugün
02 Onboarding.dc.html	template	04 Akış
02 Onboarding.dc.html	template	05 Plan
02 Onboarding.dc.html	template	06 Asistan
02 Onboarding.dc.html	template	07 Hesap
02 Onboarding.dc.html	template	08 Durumlar
02 Onboarding.dc.html	template	09 Pazarlama
02 Onboarding.dc.html	template	02 · Onboarding, Bağlantılar, İlk Analiz
02 Onboarding.dc.html	template	Akış: 4 tanıtım → hesap → bağlantılar (her OAuth öncesi izin açıklayıcı) → kişiselleştirme → brifing saatleri → ilk analiz (dramatik an) → bildirim izni → (Android) telefon bildirimleri → Bugün. Tanıtım görselleri çizim değil, ürünün kendi UI parçalarıdır.
02 Onboarding.dc.html	template	Tanıtım 1 · Marka
02 Onboarding.dc.html	template	DİJİTAL ASİSTAN
02 Onboarding.dc.html	template	Bugün bilmen gerekenleri, sen sormadan söyler.
02 Onboarding.dc.html	template	Mailini, takvimini ve yapman gerekenleri tek yerde anlar.
02 Onboarding.dc.html	template	Başlayalım
02 Onboarding.dc.html	template	Zaten hesabın var mı?
02 Onboarding.dc.html	template	Giriş yap
02 Onboarding.dc.html	template	Şafak gradyanı = brifingin rengi; onboarding boyunca tek marka anı. Sonraki ekranlar açık zemine döner.
02 Onboarding.dc.html	template	Tanıtım 2 · Gürültüyü azalt
02 Onboarding.dc.html	template	Atla
02 Onboarding.dc.html	template	ACİL
02 Onboarding.dc.html	template	Ahmet revize teklif bekliyor
02 Onboarding.dc.html	template	SON TARİH
02 Onboarding.dc.html	template	Başvuru bugün 17:00
02 Onboarding.dc.html	template	TAKİP
02 Onboarding.dc.html	template	Teklife 3 gündür cevap yok
02 Onboarding.dc.html	template	127 mail → 3 önemli konu
02 Onboarding.dc.html	template	Gürültüyü azalt.
02 Onboarding.dc.html	template	Gelen her şeyi okur, yalnızca önemli olanı gösterir.
02 Onboarding.dc.html	template	Devam
02 Onboarding.dc.html	template	Gerçek kart bileşenleriyle anlatım: soluk iskelet yığın → sayı → üç gerçek öncelik kartı. Animasyon: yığın aşağı akıp 3 karta “çöker”.
02 Onboarding.dc.html	template	Tanıtım 3 · Brifing
02 Onboarding.dc.html	template	SABAH BRİFİNGİ · 08:00
02 Onboarding.dc.html	template	Günaydın Yunus
02 Onboarding.dc.html	template	Bugün oldukça sakin bir günün var.
02 Onboarding.dc.html	template	Öğlene kadar toplantın bulunmuyor. Saat 14:30'da Mehmet ile müşteri toplantın var…
02 Onboarding.dc.html	template	Brifingi Dinle · 2 dk
02 Onboarding.dc.html	template	Her sabah 08:00
02 Onboarding.dc.html	template	Gününü sen sormadan hazırlarız.
02 Onboarding.dc.html	template	Okumak istemezsen 2 dakikada dinle.
02 Onboarding.dc.html	template	Brifing kartı hafif eğik durur; ürünün gerçek bileşeni, çizim değil.
02 Onboarding.dc.html	template	Tanıtım 4 · Kontrol sende
02 Onboarding.dc.html	template	MAİL GÖNDER
02 Onboarding.dc.html	template	BEKLİYOR
02 Onboarding.dc.html	template	Mehmet Yılmaz'a takip mesajı gönder
02 Onboarding.dc.html	template	Neden
02 Onboarding.dc.html	template	Teklife 3 gündür yanıt gelmedi.
02 Onboarding.dc.html	template	Değişim
02 Onboarding.dc.html	template	1 mail · Kısa, profesyonel ton
02 Onboarding.dc.html	template	Onayla
02 Onboarding.dc.html	template	Düzenle
02 Onboarding.dc.html	template	Reddet
02 Onboarding.dc.html	template	Onay Merkezi
02 Onboarding.dc.html	template	Kontrol her zaman sende.
02 Onboarding.dc.html	template	Sen onaylamadan mail göndermez, takvimine dokunmaz.
02 Onboarding.dc.html	template	Hesap Oluştur
02 Onboarding.dc.html	template	Son tanıtım güven mesajıyla biter; CTA marka rengine döner ve hesap oluşturmaya geçer.
02 Onboarding.dc.html	template	Hesabını oluştur
02 Onboarding.dc.html	template	Giriş yöntemin, bağlayacağın hesaplardan bağımsızdır.
02 Onboarding.dc.html	template	Google ile devam et
02 Onboarding.dc.html	template	Apple ile devam et
02 Onboarding.dc.html	template	Microsoft ile devam et
02 Onboarding.dc.html	template	E-posta ile devam et
02 Onboarding.dc.html	template	Devam ederek
02 Onboarding.dc.html	template	Kullanım Koşulları
02 Onboarding.dc.html	template	Gizlilik Politikası
02 Onboarding.dc.html	template	'nı kabul edersin. Verilerin reklam amacıyla kullanılmaz.
02 Onboarding.dc.html	template	Platform sırası cihaza göre: iOS'ta Apple ilk, Android'de Google ilk. Sağlayıcı logoları için gerçek marka varlıkları kullanılacak (burada yer tutucu).
02 Onboarding.dc.html	template	Dijital hayatını bağla
02 Onboarding.dc.html	template	ADIM 1 / 4
02 Onboarding.dc.html	template	Dijital hayatını bağla.
02 Onboarding.dc.html	template	En az bir mail ve bir takvim yeterli. İstediğin zaman kaldırabilirsin.
02 Onboarding.dc.html	template	Sen onaylamadan mail göndermeyiz.
02 Onboarding.dc.html	template	Devam · 2 hesap bağlı
02 Onboarding.dc.html	template	Durumlar: Bağla (indigo tonal) / Bağlandı (yeşil, ✓). Devam butonu bağlı hesap sayısını söyler. Kart ikonları gerçek sağlayıcı logolarıyla değiştirilecek.
02 Onboarding.dc.html	template	İzin Açıklayıcı · Gmail (OAuth öncesi)
02 Onboarding.dc.html	template	GMAIL
02 Onboarding.dc.html	template	Mail erişimine neden ihtiyacımız var?
02 Onboarding.dc.html	template	Önemli mailleri bulmak
02 Onboarding.dc.html	template	Cevap bekleyenleri anlamak
02 Onboarding.dc.html	template	Son tarihleri tespit etmek
02 Onboarding.dc.html	template	Bağlantını istediğin zaman kaldırabilirsin.
02 Onboarding.dc.html	template	Verilerin reklam amacıyla kullanılmaz, satılmaz.
02 Onboarding.dc.html	template	Google ile Bağlan
02 Onboarding.dc.html	template	Şimdi değil
02 Onboarding.dc.html	template	Sonraki adımda Google'ın kendi izin ekranı açılır.
02 Onboarding.dc.html	template	Yerel OAuth'tan hemen önce açılan sayfa: 3 neden + 3 güvence. Aynı kalıp Outlook ve takvimler için; yalnızca ikon ve nedenler değişir.
02 Onboarding.dc.html	template	2.7b
02 Onboarding.dc.html	template	İzin Açıklayıcı · Outlook / Microsoft 365
02 Onboarding.dc.html	template	OUTLOOK · MICROSOFT 365
02 Onboarding.dc.html	template	Outlook erişimine neden ihtiyacımız var?
02 Onboarding.dc.html	template	İş maillerinde önemli konuları bulmak
02 Onboarding.dc.html	template	Cevap bekleyen konuşmaları anlamak
02 Onboarding.dc.html	template	Teklif, sözleşme ve son tarihleri tespit etmek
02 Onboarding.dc.html	template	Kurumsal hesapta yalnızca sana verilen izinler kullanılır; şirket politikaların geçerli kalır.
02 Onboarding.dc.html	template	Microsoft ile Bağlan
02 Onboarding.dc.html	template	Sonraki adımda Microsoft'un kendi izin ekranı açılır.
02 Onboarding.dc.html	template	Gmail kalıbının aynısı; ikon karosu bilgi mavisi, nedenler iş bağlamına göre. Kurumsal hesaplar için ek güvence satırı (yönetici politikaları).
02 Onboarding.dc.html	template	2.7c
02 Onboarding.dc.html	template	İzin Açıklayıcı · Takvim
02 Onboarding.dc.html	template	TAKVİM
02 Onboarding.dc.html	template	Takvim erişimine neden ihtiyacımız var?
02 Onboarding.dc.html	template	Google Takvim
02 Onboarding.dc.html	template	Apple Takvim
02 Onboarding.dc.html	template	Microsoft Takvim
02 Onboarding.dc.html	template	Günün programını anlamak
02 Onboarding.dc.html	template	Toplantı çakışmalarını tespit etmek
02 Onboarding.dc.html	template	Yaklaşan etkinlikleri brifinge eklemek
02 Onboarding.dc.html	template	Uygun zaman önermek
02 Onboarding.dc.html	template	Takviminde değişiklik yapmadan önce senden onay isteriz.
02 Onboarding.dc.html	template	Etkinlik içerikleri reklam amacıyla kullanılmaz.
02 Onboarding.dc.html	template	Google Takvim'i Bağla
02 Onboarding.dc.html	template	Apple Takvim cihazdan okunur; ayrı giriş gerekmez.
02 Onboarding.dc.html	template	Üç sağlayıcı için tek açıklayıcı; seçili sağlayıcı çipi CTA metnini değiştirir. Dört neden ürünün dört takvim yeteneğine birebir karşılık gelir.
02 Onboarding.dc.html	template	Kişiselleştirme · Çoklu seçim
02 Onboarding.dc.html	template	ADIM 2 / 4
02 Onboarding.dc.html	template	Senin için neler önemli?
02 Onboarding.dc.html	template	Birden fazla seçebilirsin. Zamanla kendim de öğrenirim.
02 Onboarding.dc.html	template	Devam · 4 seçili
02 Onboarding.dc.html	template	Seçili kart: koyu zemin + dolu onay işareti. “Hepsi” diğerlerini otomatik işaretler. Seçimler yaşam kartlarının Bugün'de görünürlüğünü belirler.
02 Onboarding.dc.html	template	Brifing Ayarları
02 Onboarding.dc.html	template	ADIM 3 / 4
02 Onboarding.dc.html	template	Günün ritmi
02 Onboarding.dc.html	template	Brifingleri ne zaman hazırlayayım? Sonradan değiştirebilirsin.
02 Onboarding.dc.html	template	Sabah brifingi
02 Onboarding.dc.html	template	Günün tamamı · sesli sürüm
02 Onboarding.dc.html	template	Öğle nabzı
02 Onboarding.dc.html	template	Yalnızca değişenler
02 Onboarding.dc.html	template	Akşam kapanışı
02 Onboarding.dc.html	template	Yarına kalanlar
02 Onboarding.dc.html	template	Hafta sonu
02 Onboarding.dc.html	template	Sadece sabah, 10:00 · Kişisel öncelikli
02 Onboarding.dc.html	template	Takvimine göre: genelde 08:15'te telefonu açıyorsun. 08:00 iyi bir seçim.
02 Onboarding.dc.html	template	Saat çipine dokunuş yerel saat seçiciyi açar. Öğle ve akşam Pro özelliği; ücretsizde kilit ikonu ile görünür, gizlenmez.
02 Onboarding.dc.html	template	İlk Analiz · İşleniyor (dramatik an)
02 Onboarding.dc.html	template	Dijital hayatın analiz ediliyor…
02 Onboarding.dc.html	template	Son 72 saat · Gmail ve Google Takvim
02 Onboarding.dc.html	template	127 mail bulundu
02 Onboarding.dc.html	template	8 potansiyel önemli konu
02 Onboarding.dc.html	template	4 etkinlik
02 Onboarding.dc.html	template	2 takip tespit ediliyor…
02 Onboarding.dc.html	template	Öncelikler sıralanıyor
02 Onboarding.dc.html	template	Genelde 20–40 saniye sürer. Mail içerikleri cihazında özetlenir, hiçbir şey gönderilmez.
02 Onboarding.dc.html	template	Sayılar canlı artar (127 → sayaç), her satır tamamlandığında yeşil ✓ + hafif haptic. Halka nabız atar; ilerleme çubuğu yok, belirsiz bekleme hissi yerine bulgu listesi.
02 Onboarding.dc.html	template	İlk Analiz · Hazır
02 Onboarding.dc.html	template	HAZIR.
02 Onboarding.dc.html	template	Son 72 saatte bilmen gereken
02 Onboarding.dc.html	template	şey bulduk.
02 Onboarding.dc.html	template	Ahmet revize teklif bekliyor · 17:00
02 Onboarding.dc.html	template	TOPLANTI
02 Onboarding.dc.html	template	Mehmet ile 14:30 · hazırlık hazır
02 Onboarding.dc.html	template	+ 2 konu daha
02 Onboarding.dc.html	template	Brifingimi Gör
02 Onboarding.dc.html	template	İlk değer anı: gerçek bulgular hemen görünür, brifing bir dokunuş uzakta. Bildirim izni bundan SONRA istenir; değer görülmeden izin istenmez.
02 Onboarding.dc.html	template	Bildirim İzni Açıklayıcı
02 Onboarding.dc.html	template	Dijital Asistan
02 Onboarding.dc.html	template	Toplantına 20 dakika kaldı. Mehmet için 3 konu hazır.
02 Onboarding.dc.html	template	Bugün cevaplaman gereken önemli bir mail var.
02 Onboarding.dc.html	template	Kargon bugün geliyor. 14:00–18:00 arası.
02 Onboarding.dc.html	template	Sadece önemli olduğunda haber verelim.
02 Onboarding.dc.html	template	Günde ortalama 3 bildirim. Pazarlama bildirimi yok, “bak bana” bildirimi yok.
02 Onboarding.dc.html	template	Bildirimleri Aç
02 Onboarding.dc.html	template	Daha sonra
02 Onboarding.dc.html	template	Üç gerçek bildirim örneği; sistem izni ancak “Bildirimleri Aç”tan sonra istenir. “Daha sonra” ilk brifing ekranında tekrar, sonra bir daha sormaz.
02 Onboarding.dc.html	template	Android · Telefon Bildirimleri (isteğe bağlı)
02 Onboarding.dc.html	template	SADECE ANDROID
02 Onboarding.dc.html	template	Telefon bildirimlerini de anlayayım mı?
02 Onboarding.dc.html	template	Kargo, banka ve uygulama bildirimlerinden kişisel sinyaller çıkarırım. Mesaj içerikleri asla saklanmaz.
02 Onboarding.dc.html	template	UYGULAMALAR
02 Onboarding.dc.html	template	Bildirim erişimi cihazda işlenir. Sohbet uygulamaları varsayılan olarak kapalıdır ve önerilmez.
02 Onboarding.dc.html	template	Bildirim Erişimini Aç
02 Onboarding.dc.html	template	Android Ayarlar → Bildirim erişimi ekranı açılır.
02 Onboarding.dc.html	template	Android çerçevesi: daha küçük köşe yarıçapı, hareket çubuğu, durum çubuğu düzeni farklı. iOS akışı bu adımı hiç görmez; ürün deneyimi bundan bağımsızdır.
02 Onboarding.dc.html	data	yunus@…com · 3 gün analiz edildi
02 Onboarding.dc.html	data	İş maili · Microsoft 365
02 Onboarding.dc.html	data	2 takvim · Kişisel, İş
02 Onboarding.dc.html	data	Outlook takvimi
02 Onboarding.dc.html	data	iCloud · cihazdan okunur
02 Onboarding.dc.html	data	Son Tarihler
02 Onboarding.dc.html	data	Kargo uygulamaları
02 Onboarding.dc.html	data	Trendyol, Hepsiburada, Yurtiçi
02 Onboarding.dc.html	data	Ödeme ve son tarih bildirimleri
02 Onboarding.dc.html	data	THY, Pegasus · kapı ve rötar
02 Onboarding.dc.html	data	Yemek, otel, etkinlik
